title,detail,tags,is_file,file_path,file_link,is_img,img_path,time,name,email,address
口罩佩戴检测数据,2020年一场席卷全球的新型冠状病毒给人们带来了沉重的生命财产的损失。有效防御这种传染病毒的方法就是积极佩戴口罩。我国对此也采取了严肃的措施，在公共场合要求人们必须佩戴口罩。本次数据主要有3部分内容 第一部分数据放置在 image 文件夹，主要包含戴口罩313张照片和不带口罩443张照片。第二部分数据放在 modeldata 文件夹，该文件夹主要放置网络模型和网络模型文件。这部分模型主要是已经训练好，供大家预训练使用。第三部分是 train.txt 文件，该文件中放置的是 image 文件夹图片对应的标签。,口罩,1,file/2023-03-01T09:30:47+08:00/5f680a696ec9b83bb0037081.zip,,2,"['file/2023-03-01T09:30:47+08:00/1595518208709.jpg', 'file/2023-03-01T09:30:47+08:00/20200921102312.png']",2023-03-01T09:30:47+08:00,,,
垃圾短信,本数据集主要包含2部分，sms_pub.csv 包括约 7 万条数据，每条数据 有 3 个字段 label、 message 和 msg_new， 分别代表了短信的类别、短信的内容和分词后的短信；而短信 label 分为正常短息和恶意短信另种类别,垃圾短信,0,,https://mo.zju.edu.cn/explore/5f9ae243cae5285cd734b91f?type=dataset,1,['file/2023-03-01T09:43:00+08:00/1595522753637.jpg'],2023-03-01T09:43:00+08:00,,,
